member,phrase,phrase_label,augmentation,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,rolloff_mean,rolloff_std,rms_mean,rms_std,zcr_mean,centroid_mean
Glory,confirm,Confirm transaction,time_stretch_fast,-331.3747863769531,59.80039978027344,149.9453125,33.4421272277832,-6.016617298126221,17.233659744262695,27.33248519897461,22.705286026000977,-8.988503456115723,11.478270530700684,5.20815372467041,11.094754219055176,-6.947628498077393,11.305333137512207,1.962626576423645,9.085891723632812,-5.964760780334473,8.740113258361816,2.1824841499328613,9.413897514343262,-6.19075870513916,12.578700065612793,-1.3020594120025635,10.6902437210083,-7.013785362243652,11.640058517456055,2622.5390625,1534.1613200738761,0.024910062551498413,0.01849536970257759,0.06088634672619048,1371.6195452568065
Glory,confirm,Confirm transaction,time_stretch_slow,-333.4989013671875,59.49616622924805,149.706298828125,34.33407974243164,-5.670286655426025,18.90276527404785,28.425682067871094,22.30725860595703,-7.8477067947387695,11.791784286499023,5.926449298858643,11.245031356811523,-6.870079040527344,11.371086120605469,2.6627140045166016,9.575077056884766,-5.1466145515441895,9.478031158447266,2.7503716945648193,9.261938095092773,-5.582623481750488,11.840008735656738,-1.7444658279418945,9.665218353271484,-6.831573009490967,11.431281089782715,2615.120222761824,1579.7223947360792,0.024540763348340988,0.018518498167395592,0.06356894003378379,1369.3034055232542
Glory,confirm,Confirm transaction,add_noise,-274.64923095703125,48.951698303222656,122.81305694580078,33.07476806640625,14.739317893981934,17.136690139770508,14.988802909851074,19.24027442932129,2.0371997356414795,12.540999412536621,-1.025468111038208,9.899480819702148,-1.6113804578781128,9.828437805175781,-1.186511516571045,8.152653694152832,-2.516096591949463,7.88114070892334,0.4020567834377289,8.056126594543457,-3.5654778480529785,9.052412033081055,-3.0970137119293213,9.569748878479004,-5.271078109741211,9.421955108642578,3728.86171875,1867.7374311722078,0.03568461909890175,0.026580844074487686,0.07156640625,1807.9826258027456
Glory,confirm,Confirm transaction,reverse,-297.3022155761719,56.173343658447266,152.66595458984375,35.12779998779297,-6.700888156890869,18.93025016784668,29.808887481689453,21.93168067932129,-8.356392860412598,11.889012336730957,6.5320210456848145,10.80394172668457,-7.300379276275635,11.2083101272583,3.327512502670288,9.132172584533691,-6.072647571563721,9.833914756774902,3.4882113933563232,9.010241508483887,-5.730087757110596,12.249034881591797,-1.4403260946273804,9.083220481872559,-6.834908485412598,11.21204662322998,2619.9017578125,1649.7856871632525,0.035703785717487335,0.026541126891970634,0.06189453125,1363.0896036488032
Kevin,approve,"Yes, approve",original,-327.7100524902344,175.97903442382812,83.32952117919922,63.918251037597656,25.616636276245117,31.259477615356445,22.12725067138672,21.626249313354492,13.255865097045898,16.162538528442383,12.981359481811523,18.379064559936523,1.7187405824661255,11.458328247070312,4.950888633728027,12.17844295501709,-4.645803928375244,10.839862823486328,1.5792409181594849,7.961616039276123,1.3035528659820557,10.289327621459961,-1.8280905485153198,11.975205421447754,-1.9768390655517578,10.106606483459473,4474.652777777777,2161.4177080121494,0.07848340272903442,0.0993056446313858,0.08924093364197531,2052.8915523671208
Kevin,approve,"Yes, approve",pitch_up,-346.5841979980469,184.09681701660156,84.42915344238281,57.85017013549805,25.167911529541016,33.145912170410156,19.852127075195312,19.263748168945312,12.772858619689941,16.252044677734375,6.980721950531006,13.945068359375,0.47153910994529724,14.818134307861328,0.5138095617294312,11.558629035949707,-6.111056327819824,9.45893669128418,1.3445203304290771,9.784246444702148,-2.545900344848633,11.874258995056152,-4.6303839683532715,9.41650104522705,2.9325222969055176,6.604708671569824,4776.383463541667,2170.976560575694,0.056723084300756454,0.07240130752325058,0.09563078703703703,2197.1550576599334
Kevin,approve,"Yes, approve",pitch_down,-354.1284484863281,174.9158477783203,87.25226593017578,64.73976135253906,17.931608200073242,29.113183975219727,29.112926483154297,23.531940460205078,6.208273410797119,18.96361541748047,19.663257598876953,21.322603225708008,-2.8564555644989014,13.373669624328613,11.67210578918457,9.966682434082031,-6.637101650238037,14.438277244567871,2.763432741165161,7.625387668609619,-3.1427509784698486,9.170623779296875,5.45625114440918,8.489556312561035,-8.683701515197754,15.53145980834961,4116.164822048611,1829.3920841672793,0.05658842623233795,0.07293794304132462,0.0784203800154321,1863.8471823829618
Kevin,approve,"Yes, approve",time_stretch_fast,-346.3004455566406,182.89666748046875,83.23858642578125,61.49128723144531,24.31575584411621,31.24909019470215,22.66269302368164,18.864131927490234,12.193177223205566,15.170305252075195,11.965215682983398,16.354076385498047,0.43076783418655396,12.26734447479248,5.010113716125488,10.78940486907959,-5.579007625579834,10.761859893798828,0.6342784762382507,7.483935832977295,0.08670473098754883,9.92383861541748,-2.375617027282715,11.885021209716797,-2.664039373397827,9.225774765014648,4495.05615234375,2056.4644186562336,0.05801837891340256,0.07200785726308823,0.08893181295955882,2051.5451242939
Kevin,approve,"Yes, approve",time_stretch_slow,-353.7974548339844,180.00218200683594,83.43889617919922,61.627986907958984,24.4592342376709,31.57112693786621,22.07456398010254,18.962289810180664,13.085342407226562,15.567466735839844,12.006381034851074,17.326187133789062,0.3160669505596161,12.70640754699707,4.763233661651611,10.755572319030762,-5.024617671966553,10.867793083190918,1.6675790548324585,7.631974220275879,1.2334671020507812,10.528837203979492,-1.719692587852478,12.41938591003418,-2.1505510807037354,9.435871124267578,4458.158111572266,2134.7871881663673,0.0553409568965435,0.07272467017173767,0.0867919921875,2040.759821437444
Kevin,approve,"Yes, approve",add_noise,-248.3003692626953,112.07342529296875,55.739566802978516,64.6046371459961,18.68471908569336,28.147014617919922,13.703213691711426,18.803030014038086,8.197169303894043,12.469286918640137,8.762080192565918,16.44493865966797,1.12174654006958,10.943675994873047,3.5953211784362793,11.290350914001465,-2.4552342891693115,9.918655395507812,0.9817303419113159,7.7715864181518555,2.0196824073791504,8.726820945739746,-1.8026477098464966,12.064165115356445,-0.7439187169075012,8.577305793762207,6946.983506944444,2989.723478683415,0.07935776561498642,0.09868097305297852,0.27728346836419754,3789.129364867665
